trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
900,False,"{'a': 0.01, 'e': 0.20835252511652813}",20,7,-21.085741223519108,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
901,False,"{'a': 0.01, 'e': 0.20729792416460047}",25,8,30.546353223055124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,False,"{'a': 0.01, 'e': 0.20624793940994546}",25,14,-14.011637552376305,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
903,False,"{'a': 0.01, 'e': 0.20520255855380332}",20,7,13.542562055956989,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
904,False,"{'a': 0.01, 'e': 0.2041617692369897}",30,20,10.241019995995945,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
905,False,"{'a': 0.01, 'e': 0.2031255590412856}",20,8,21.181005185533486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
906,False,"{'a': 0.01, 'e': 0.20209391549081623}",20,2,13.78563150147853,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
907,False,"{'a': 0.01, 'e': 0.20106682605341386}",25,19,11.358727013395946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.01, 'e': 0.20004427814197}",20,3,-6.72451226035097,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
909,False,"{'a': 0.01, 'e': 0.199026259115772}",20,12,16.600656663377258,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.01, 'e': 0.19801275628182713}",25,10,16.58465180599423,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
911,False,"{'a': 0.01, 'e': 0.1970037568961749}",25,10,18.841567814430594,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
912,False,"{'a': 0.01, 'e': 0.19599924816518344}",25,19,-30.39356450681143,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
